SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-20-2022,Single Family Residential,8430 Hunts Point Ln,Hunts Point,WA,98004,4800000,5,4.5,Hunts Point,5270,20615,2007,,911,,Sold,,,https://www.redfin.com/WA/Hunts-Point/8430-Hunts-Point-Ln-98004/home/250322,NWMLS,1977144,N,Y,47.6382643,-122.2266601
PAST SALE,May-23-2022,Single Family Residential,3227 Hunts Point Rd,Hunts Point,WA,98004,11400000,3,3.5,Hunts Point,3680,31848,1955,,3098,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3227-Hunts-Point-Rd-98004/home/250222,NWMLS,1914201,N,Y,47.6398499,-122.2294365
PAST SALE,September-13-2021,Single Family Residential,3200 80th Ave NE,Hunts Point,WA,98004,7400000,3,2.0,Hunts Point,2680,17419,1961,,2761,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3200-80th-Ave-NE-98004/home/249583,NWMLS,1720564,N,Y,47.6384265,-122.2327438
PAST SALE,August-12-2022,Single Family Residential,8521 Hunts Point Ln,Hunts Point,WA,98004,3200000,5,3.5,Hunts Point,3549,21028,1983,,902,,Sold,,,https://www.redfin.com/WA/Hunts-Point/8521-Hunts-Point-Ln-98004/home/250391,NWMLS,1963903,N,Y,47.6375887,-122.2241778
PAST SALE,March-8-2019,Single Family Residential,8531 Hunts Point Ln,Hunts Point,WA,98004,1780000,3,2.5,Hunts Point,3150,20794,1983,,565,,Sold,,,https://www.redfin.com/WA/Hunts-Point/8531-Hunts-Point-Ln-98004/home/250390,NWMLS,1416700,N,Y,47.6378529,-122.2237981
PAST SALE,November-13-2017,Single Family Residential,3120 80th Ave NE,Hunts Point,WA,98004,5400000,4,3.5,Hunts Point,4260,17283,2004,,1268,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3120-80th-Ave-NE-98004/home/249761,NWMLS,1156675,N,Y,47.6381957,-122.2326797
PAST SALE,,Single Family Residential,4053 Hunts Point Rd,Hunts Point,WA,98004,37500000,3,4.5,,9420,142561,2003,,3981,,,,,https://www.redfin.com/WA/Hunts-Point/4053-Hunts-Point-Rd-98004/home/249796,,,N,Y,47.6479645,-122.2312692
PAST SALE,December-20-2019,Single Family Residential,2831 Hunts Point Rd,Hunts Point,WA,98004,1800000,0,,Hunts Point,1430,12000,1952,,1259,,Sold,,,https://www.redfin.com/WA/Hunts-Point/2831-Hunts-Point-Rd-98004/home/249853,NWMLS,1549763,N,Y,47.6367329,-122.2281533
PAST SALE,,Single Family Residential,3820 Hunts Point Rd,Hunts Point,WA,98004,9800000,5,3.0,,3790,39303,1902,,2586,,,,,https://www.redfin.com/WA/Hunts-Point/3820-Hunts-Point-Rd-98004/home/250028,,,N,Y,47.6452582,-122.2284347
PAST SALE,March-3-2020,Single Family Residential,8520 Hunts Point Ln,Hunts Point,WA,98004,2666000,4,3.0,Hunts Point,3070,22076,1979,,868,,Sold,,,https://www.redfin.com/WA/Hunts-Point/8520-Hunts-Point-Ln-98004/home/250388,NWMLS,1545154,N,Y,47.6383334,-122.2245175
PAST SALE,,Single Family Residential,8550 NE 28th St,Hunts Point,WA,98004,1575000,4,2.5,,3430,20400,1989,,459,,,,,https://www.redfin.com/WA/Hunts-Point/8550-NE-28th-St-98004/home/251283,,,N,Y,47.6358146,-122.2251788
PAST SALE,September-9-2020,Single Family Residential,3072 80th Ave NE,Hunts Point,WA,98004,5200000,4,4.5,Hunts Point,5026,17261,1965,,1035,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3072-80th-Ave-NE-98004/home/250397,NWMLS,1630435,N,Y,47.6375941,-122.2326229
PAST SALE,December-27-2018,Single Family Residential,3103 Fairweather Pl,Hunts Point,WA,98004,5150000,3,3.5,Hunts Point,2720,15591,1965,,1893,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3103-Fairweather-Pl-98004/home/249635,NWMLS,1389005,N,Y,47.6381789,-122.2312825
PAST SALE,November-8-2021,Single Family Residential,3025 Hunts Point Rd,Hunts Point,WA,98004,3510000,3,2.0,Hunts Point,2300,14400,1952,,1526,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3025-Hunts-Point-Rd-98004/home/250100,NWMLS,1849553,N,Y,47.6376628,-122.2282223
PAST SALE,,Single Family Residential,3039 Hunts Point Cir,Hunts Point,WA,98004,2360000,3,3.0,,2760,12186,1952,,855,,,,,https://www.redfin.com/WA/Hunts-Point/3039-Hunts-Point-Cir-98004/home/250174,,,N,Y,47.6379742,-122.2301095
PAST SALE,August-9-2019,Single Family Residential,3028 Hunts Point Cir,Hunts Point,WA,98004,2950000,5,4.0,Hunts Point,3760,12023,2005,,785,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3028-Hunts-Point-Cir-98004/home/249894,NWMLS,1479422,N,Y,47.6377336,-122.2294967
PAST SALE,,Single Family Residential,3133 Hunts Point Rd,Hunts Point,WA,98004,3675000,4,3.5,,4340,14130,2005,,847,,,,,https://www.redfin.com/WA/Hunts-Point/3133-Hunts-Point-Rd-98004/home/2085208,,,N,Y,47.6387975,-122.2282656
PAST SALE,July-23-2018,Single Family Residential,8304 Hunts Point Cir,Hunts Point,WA,98004,3078000,5,4.5,Hunts Point,4390,17752,2004,,701,,Sold,,,https://www.redfin.com/WA/Hunts-Point/8304-Hunts-Point-Cir-98004/home/250075,NWMLS,1306932,N,Y,47.6370536,-122.2294132
PAST SALE,,Single Family Residential,8580 Hunts Point Ln,Hunts Point,WA,98004,5800000,5,5.5,,5540,33542,1980,,1047,,,,,https://www.redfin.com/WA/Hunts-Point/8580-Hunts-Point-Ln-98004/home/250431,,,N,Y,47.6391735,-122.2261365
PAST SALE,February-27-2020,Vacant Land,38 xx Hunts Point Rd,Hunts Point,WA,98004,6950000,,,Hunts Point,,43650,,,,,Sold,,,https://www.redfin.com/WA/Hunts-Point/38-XX-Hunts-Point-Rd-98004/home/175950493,NWMLS,1552393,N,Y,47.644705,-122.229793
PAST SALE,June-21-2019,Single Family Residential,8440 Hunts Point Ln,Hunts Point,WA,98004,3285000,4,3.5,Hunts Point,4830,20002,1992,,680,,Sold,,,https://www.redfin.com/WA/Hunts-Point/8440-Hunts-Point-Ln-98004/home/249922,NWMLS,1368860,N,Y,47.6380096,-122.2264505
PAST SALE,July-10-2018,Single Family Residential,3661 Hunts Point Rd,Hunts Point,WA,98004,18000000,4,5.0,Hunts Point,6570,46602,2013,,2740,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3661-Hunts-Point-Rd-98004/home/250008,NWMLS,1310174,N,Y,47.6446242,-122.2314092
PAST SALE,April-15-2021,Single Family Residential,3639 Hunts Point Rd,Hunts Point,WA,98004,32000000,0,,Hunts Point,7140,80931,1947,,4482,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3639-Hunts-Point-Rd-98004/home/250146,NWMLS,1758814,N,Y,47.6439642,-122.2319435
PAST SALE,September-16-2020,Single Family Residential,8314 Hunts Point Cir,Hunts Point,WA,98004,2600000,4,4.0,Hunts Point,3080,15000,2001,,844,,Sold,,,https://www.redfin.com/WA/Hunts-Point/8314-Hunts-Point-Cir-98004/home/250074,NWMLS,1650256,N,Y,47.6370309,-122.22894
PAST SALE,February-11-2019,Single Family Residential,3123 Hunts Point Rd,Hunts Point,WA,98004,2075000,4,2.5,Hunts Point,2730,14897,1952,,760,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3123-Hunts-Point-Rd-98004/home/250097,NWMLS,1398738,N,Y,47.638447,-122.2281785
PAST SALE,May-14-2019,Single Family Residential,4224 Hunts Point Rd,Hunts Point,WA,98004,8350000,4,3.5,Hunts Point,4030,38135,1927,,2072,,Sold,,,https://www.redfin.com/WA/Hunts-Point/4224-Hunts-Point-Rd-98004/home/249830,NWMLS,1406684,N,Y,47.6490887,-122.2289152
PAST SALE,August-28-2019,Single Family Residential,8460 Hunts Point Ln,Hunts Point,WA,98004,1628000,4,4.5,Hunts Point,2730,20000,1988,,596,,Sold,,,https://www.redfin.com/WA/Hunts-Point/8460-Hunts-Point-Ln-98004/home/250387,NWMLS,1486721,N,Y,47.6377732,-122.2260296
PAST SALE,April-8-2022,Single Family Residential,3022 Hunts Point Rd,Hunts Point,WA,98004,4300000,3,3.5,Hunts Point,3282,14650,1964,,1310,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3022-Hunts-Point-Rd-98004/home/250324,NWMLS,1906451,N,Y,47.6375509,-122.2274881
PAST SALE,,Single Family Residential,4308 Hunts Point Rd,Bellevue,WA,98004,10750000,4,3.5,,4530,39470,1949,,2373,,,,,https://www.redfin.com/WA/Bellevue/4308-Hunts-Point-Rd-98004/home/250067,,,N,Y,47.650047,-122.2298436
PAST SALE,March-27-2020,Single Family Residential,3808 Hunts Point Rd,Hunts Point,WA,98004,7200000,5,4.5,Hunts Point,5740,44188,1912,,1254,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3808-Hunts-Point-Rd-98004/home/249877,NWMLS,1556496,N,Y,47.6448215,-122.228326
PAST SALE,,Single Family Residential,3823 Hunts Point Rd,Hunts Point,WA,98004,16000000,2,4.5,,4870,41336,1973,,3285,,,,,https://www.redfin.com/WA/Hunts-Point/3823-Hunts-Point-Rd-98004/home/250007,,,N,Y,47.6452614,-122.2316976
PAST SALE,September-24-2021,Single Family Residential,4335 Hunts Point Rd,Hunts Point,WA,98004,23500000,4,5.0,Hunts Point,4376,15494,2016,,5370,,Sold,,,https://www.redfin.com/WA/Hunts-Point/4335-Hunts-Point-Rd-98004/home/250297,NWMLS,1795337,N,Y,47.6507536,-122.2304309
PAST SALE,,Single Family Residential,3008 80th Ave NE,Hunts Point,WA,98004,5000000,4,3.0,,3290,19032,1968,,1520,,,,,https://www.redfin.com/WA/Hunts-Point/3008-80th-Ave-NE-98004/home/249598,,,N,Y,47.637097,-122.232638
PAST SALE,November-1-2021,Single Family Residential,3112 Hunts Point Rd,Hunts Point,WA,98004,3458000,4,4.5,Hunts Point,4023,10091,2014,,860,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3112-Hunts-Point-Cir-98004/home/22435164,NWMLS,1864940,N,Y,47.6384706,-122.2294672
PAST SALE,,Single Family Residential,3267 Hunts Point Rd,Hunts Point,WA,98004,6300000,2,3.0,,2530,30207,1908,,2490,,,,,https://www.redfin.com/WA/Hunts-Point/3267-Hunts-Point-Rd-98004/home/250055,,,N,Y,47.6410528,-122.2310449
PAST SALE,,Single Family Residential,3018 Hunts Point Cir,Hunts Point,WA,98004,1876500,2,2.0,,1730,11227,1953,,1085,,,,,https://www.redfin.com/WA/Hunts-Point/3018-Hunts-Point-Cir-98004/home/249893,,,N,Y,47.6374361,-122.2294902
PAST SALE,December-8-2020,Single Family Residential,3432 Hunts Point Rd,Hunts Point,WA,98004,14000000,5,5.0,Hunts Point,8013,54806,1987,,1747,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3432-Hunts-Point-Rd-98004/home/250003,NWMLS,1603637,N,Y,47.6420232,-122.2279674
PAST SALE,December-21-2020,Single Family Residential,3023 Hunts Point Cir,Hunts Point,WA,98004,2950000,4,3.0,Hunts Point,2950,12184,2008,,1000,,Sold,,,https://www.redfin.com/WA/Hunts-Point/3023-Hunts-Point-Cir-98004/home/249871,NWMLS,1687876,N,Y,47.6375008,-122.2302386
